OA21CD,Education,Residential H/M,Industrial,Commercial,Tourism,Park,Sport,Sustenance,Entertainment,Healthcare,Public Service,Civic,Railway station,Bus stop,Cycleway,Major road,Pedestrian,Urban,Rural
E00133585,2,906,60,28,11,20,0,47,1,6,1,2,0,68,21,37,32,1,6
E00138834,0,2,0,2,7,0,0,4,0,0,0,0,0,5,0,28,0,0,2
E00024079,37,6511,27,449,599,117,4,1428,33,66,17,5,35,493,600,328,166,12,0
E00095700,0,0,0,1,5,0,0,3,0,0,1,0,0,19,0,1,1,0,7
E00080580,1,583,7,11,3,13,2,25,0,4,1,1,1,140,81,41,3,2,4
E00036515,3,303,103,167,11,6,1,36,0,8,0,0,5,196,79,40,0,0,6
E00061683,3,23,0,12,14,15,0,21,0,2,1,0,1,59,140,24,20,0,7
E00123196,11,78,89,119,45,21,8,215,2,8,1,0,4,260,232,19,26,11,9
E00184252,0,12,0,1,13,7,1,7,1,0,0,0,0,10,37,33,0,2,7
E00131422,4,21,0,29,17,17,0,90,5,4,1,0,1,108,15,96,11,0,4
E00014957,19,541,3,291,42,50,6,240,3,12,6,1,5,325,753,6,58,9,1
E00180693,6,2,114,16,15,46,0,34,1,6,0,0,1,312,38,36,6,2,3
E00088325,0,61,32,3,10,4,0,21,0,2,1,0,0,50,106,27,0,2,3
E00085400,2,478,72,31,11,33,0,91,1,10,1,0,3,312,53,50,7,3,3
E00105035,0,24,2,15,36,3,0,28,0,2,0,0,0,117,28,72,0,0,11
E00002662,33,6243,32,291,337,109,11,1118,18,65,5,5,34,508,308,314,114,13,1
E00107569,1,8,19,6,11,11,0,21,1,7,1,0,0,20,46,24,0,2,6
E00149478,0,0,0,0,33,0,0,2,0,0,0,0,0,0,0,0,0,0,3
E00177839,21,227,112,140,98,36,6,152,0,14,5,0,3,558,55,42,32,2,4
E00025432,4,106,42,30,13,30,4,78,3,5,0,0,1,299,155,181,47,15,3
E00072554,2,33,34,26,19,58,3,51,0,5,2,0,1,31,45,56,18,4,7
E00137103,4,1,0,2,2,5,0,52,1,5,0,0,0,7,4,43,8,1,3
E00088411,8,170,3,107,56,52,4,318,10,24,9,0,2,161,293,105,27,6,6
E00019193,11,726,28,645,111,64,8,422,9,30,1,8,7,258,401,173,32,7,3
E00032180,15,227,57,94,52,16,7,117,7,11,0,0,4,389,305,193,41,22,2
