OA21CD,pc_student,latitude,longitude
E00133585,0.0604,52.76976,-0.38166
E00138834,0.0516,51.99383,-1.24977
E00024079,0.1462,51.5193,-0.19743
E00095700,0.0417,50.81964,-4.47899
E00080580,0.0365,51.48335,0.373284
E00036515,0.0924,53.41302,-3.09958
E00061683,0.0545,54.51647,-1.30767
E00123196,0.0524,51.43339,0.350996
E00184252,0.1039,51.10468,-1.79116
E00131422,0.0569,52.76906,-0.89874
E00014957,0.082,51.41266,-0.29404
E00180693,0.0625,52.71196,-2.00893
E00088325,0.0484,52.13392,-0.39792
E00085400,0.0377,50.84724,-0.22351
E00105035,0.08,54.71957,-1.50294
E00002662,0.1584,51.5358,-0.19834
E00107569,0.0391,50.87091,0.253467
E00149478,0.1234,51.18488,-3.59793
E00177839,0.0588,53.82129,-1.77512
E00025432,0.0909,53.58858,-2.29179
E00072554,0.0565,52.98941,-2.11171
E00137103,0.0478,52.47039,-0.73721
E00088411,0.059,52.12655,-0.48606
E00019193,0.0489,51.4562,-0.30232
E00032180,0.0691,53.539,-2.66886
E00079871,0.0332,51.90386,-0.39665
E00085905,0.0251,50.84157,-0.08244
E00088608,0.0512,52.10062,-0.53125
E00184190,0.0348,51.36902,-1.95831
E00158172,0.0528,52.48346,-1.61815
E00156135,0.08,51.25263,-0.17003
E00188977,0.0461,52.38835,-0.68316
E00075801,0.0433,51.45712,-2.4899
E00073993,0.0605,51.42881,-2.57754
E00150651,0.0311,53.02087,-2.25212
E00157864,0.0489,51.32026,-0.5683
E00014447,0.1044,51.51319,-0.21214
E00066502,0.0413,53.61566,-0.22461
E00136129,0.0193,52.93921,1.209562
E00137133,0.0313,52.48573,-0.72215
E00100722,0.0339,50.78183,-3.11361
E00092587,0.0861,53.03094,-2.79126
E00018068,0.1395,51.55185,0.060491
E00137491,0.057,52.44193,-0.38747
E00185590,0.7918,54.04834,-2.79993
E00043785,0.0437,54.96511,-1.40145
E00094375,0.0372,53.27536,-2.76976
E00009148,0.0767,51.53982,-0.04986
E00149360,0.0444,50.97113,-3.24139
E00119821,0.0276,51.98941,-0.18815
E00155593,0.0439,51.32137,-0.29095
E00013288,0.0718,51.48033,-0.33489
E00124568,0.0588,51.11518,1.15859
E00045876,0.0909,52.42857,-1.83233
E00137347,0.045,52.3969,-0.99392
E00052752,0.0318,52.58295,-2.09385
E00004951,0.0857,51.38883,-0.0463
E00032486,0.0627,53.52484,-2.63883
E00163117,0.0448,51.08304,-1.78492
E00067875,0.0631,53.94692,-1.13409
E00087405,0.0451,50.76247,-1.2802
E00183915,0.1279,51.51393,-0.03063
E00111911,0.0412,51.93021,1.228005
E00124138,0.0732,51.1393,0.182595
E00097174,0.0372,54.9146,-2.60466
E00016864,0.0776,51.42464,-0.05593
E00084819,0.0548,52.04648,-0.80174
E00172266,0.1077,52.20682,-2.19631
E00069584,0.0226,52.59556,-0.67205
E00077869,0.0414,50.76271,-1.99977
E00181776,0.145,53.52966,-2.12588
E00064077,0.0596,53.82703,-3.02551
E00131664,0.235,52.84275,-1.28725
E00111963,0.0526,51.7865,1.136879
E00138855,0.0344,52.13851,-0.86803
E00093747,0.0437,53.288,-2.11049
E00155932,0.0634,51.21386,-0.1796
E00103381,0.0365,50.77937,-1.88849
E00088761,0.0487,51.88958,-0.48609
E00187512,0.0681,52.89789,-1.19148
E00169040,0.0983,52.63149,-1.10985
E00093263,0.0791,53.08371,-2.61819
E00077736,0.2962,50.74034,-1.87086
E00139938,0.0511,54.97198,-2.09562
E00053201,0.0761,52.6063,-2.16576
E00023365,0.0977,51.44263,-0.21948
E00039605,0.0205,53.50104,-1.33914
E00066723,0.022,53.57854,-0.15695
E00091345,0.032,52.6656,0.178957
E00148463,0.0592,51.15543,-3.02686
E00154311,0.0275,52.42714,1.723361
E00175494,0.0891,51.99788,-0.80566
E00023220,0.0641,51.46769,-0.22567
