,price,date_of_transfer,joined
0,288000,2021-03-26,19 QUEENSWAY
1,320000,2023-03-17,4 QUEENSWAY
2,325000,2023-11-10,5 QUEENSWAY
3,392000,2023-06-19,11 GLENALMOND AVENUE
4,500000,2023-07-13,32 GLENALMOND AVENUE
5,13900000,2020-07-16,CLARENDON HOUSE CLARENDON ROAD
6,1430000,2021-05-28,2 RICHARD FOSTER ROAD
7,1500000,2021-03-05,4 ABERDEEN AVENUE
8,1600000,2022-09-20,16 ABERDEEN AVENUE
9,320000,2020-10-02,34 QUEENSWAY
10,255000,2021-07-07,29 QUEENSWAY
11,293000,2023-09-15,50 QUEENSWAY
12,925000,2021-03-31,6 GILMOUR ROAD
13,1500000,2021-06-28,16 GILMOUR ROAD
14,365000,2021-11-19,THE LIGHT BUILDING BROOKLANDS AVENUE
15,192434,2022-01-14,THE LIGHT BUILDING BROOKLANDS AVENUE
16,609000,2023-12-08,THE LIGHT BUILDING BROOKLANDS AVENUE
17,585000,2024-01-12,THE LIGHT BUILDING BROOKLANDS AVENUE
18,610000,2021-02-01,7 MORLAND TERRACE
19,1650000,2021-04-12,6 MORLAND TERRACE
20,1850000,2022-03-18,2 MORLAND TERRACE
21,425000,2021-03-31,BROOKLANDS COURT BROOKLANDS AVENUE
22,580000,2021-12-13,BROOKLANDS COURT BROOKLANDS AVENUE
23,670000,2023-05-31,BROOKLANDS COURT BROOKLANDS AVENUE
24,525000,2024-04-10,BROOKLANDS COURT BROOKLANDS AVENUE
25,100500,2021-01-27,"HUXLEY HOUSE, 8 MILL PARK"
26,395000,2020-01-10,"GILBERT HOUSE, 6 MILL PARK"
27,196000,2020-03-20,"GILBERT HOUSE, 6 MILL PARK"
28,390000,2020-08-25,"GILBERT HOUSE, 6 MILL PARK"
29,410000,2021-01-14,"GILBERT HOUSE, 6 MILL PARK"
30,390000,2021-03-31,"GILBERT HOUSE, 6 MILL PARK"
31,234000,2022-07-18,"GILBERT HOUSE, 6 MILL PARK"
32,405000,2022-11-04,"GILBERT HOUSE, 6 MILL PARK"
33,141100,2022-12-06,"GILBERT HOUSE, 6 MILL PARK"
34,123000,2023-01-20,"GILBERT HOUSE, 6 MILL PARK"
35,420000,2023-02-06,"GILBERT HOUSE, 6 MILL PARK"
36,410000,2023-07-13,"GILBERT HOUSE, 6 MILL PARK"
37,478600,2024-08-06,"GILBERT HOUSE, 6 MILL PARK"
38,850000,2022-04-12,101 HILLS ROAD
39,810000,2023-07-18,87 HILLS ROAD
40,433000,2020-01-17,"WATSON HOUSE, 4 MILL PARK"
41,415000,2021-02-20,"WATSON HOUSE, 4 MILL PARK"
42,557000,2021-02-26,"WATSON HOUSE, 4 MILL PARK"
43,440000,2021-06-04,"WATSON HOUSE, 4 MILL PARK"
44,555000,2023-03-08,"WATSON HOUSE, 4 MILL PARK"
45,560000,2023-11-23,"WATSON HOUSE, 4 MILL PARK"
46,405000,2021-01-29,153 WARREN CLOSE
47,285000,2021-03-31,80 WARREN CLOSE
48,400000,2021-04-16,79 WARREN CLOSE
49,320000,2021-05-05,98 WARREN CLOSE
50,320000,2021-05-12,99 WARREN CLOSE
51,950000,2021-06-22,102 WARREN CLOSE
52,317000,2021-06-29,121 WARREN CLOSE
53,395000,2022-05-20,89 WARREN CLOSE
54,410000,2022-06-01,127 WARREN CLOSE
55,422000,2022-11-25,123 WARREN CLOSE
56,321000,2023-03-29,75 WARREN CLOSE
57,322500,2023-04-06,103 WARREN CLOSE
58,410000,2023-09-08,94 WARREN CLOSE
59,365000,2024-06-27,151 WARREN CLOSE
60,455000,2024-07-26,120 WARREN CLOSE
61,460000,2024-08-16,101 WARREN CLOSE
62,310000,2023-10-31,"MEADE HOUSE, 2 MILL PARK"
63,382400,2022-02-11,3 STATION SQUARE
64,600000,2022-02-11,3 STATION SQUARE
65,500000,2022-02-14,3 STATION SQUARE
66,466500,2022-02-14,3 STATION SQUARE
67,476000,2022-02-14,3 STATION SQUARE
68,470400,2022-02-14,3 STATION SQUARE
69,387100,2022-02-14,3 STATION SQUARE
70,397500,2022-02-14,3 STATION SQUARE
71,485000,2022-02-14,3 STATION SQUARE
72,350400,2022-02-14,3 STATION SQUARE
73,451500,2022-02-14,3 STATION SQUARE
74,470400,2022-02-15,3 STATION SQUARE
75,600000,2022-02-17,3 STATION SQUARE
76,490000,2022-02-17,3 STATION SQUARE
77,365000,2022-02-18,3 STATION SQUARE
78,387500,2022-02-21,3 STATION SQUARE
79,441600,2022-02-22,3 STATION SQUARE
80,595000,2022-02-22,3 STATION SQUARE
81,460000,2022-02-24,3 STATION SQUARE
82,384200,2022-02-28,3 STATION SQUARE
